Volcano_Name,Volcano_Image,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Summit_and_Elevatiuon,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km,Latitude1,Longitude1,Elevation1,Placement
Sodore,https://volcano.si.edu/gallery/photos/GVP-11164.jpg,Pyroclastic cone(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1765 m, 5791 ft",8.43°N,39.35°E,432998,432998,648056,7539098,8.43,39.35,1765,On land
Sork Ale,https://volcano.si.edu/gallery/photos/GVP-11211.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Uncertain,"1611 m, 5285 ft",13.18°N,41.725°E,174,632,3896,38428,13.18,41.725,1611,On land
South Island,https://volcano.si.edu/gallery/photos/GVP-11931.jpg,Stratovolcano,Kenya,Africa and Red Sea,Africa (eastern),holocene,1888 CE,"800 m, 2625 ft",2.63°N,36.6°E,0,0,1959,98303,2.63,36.6,800,On land
Suswa,https://volcano.si.edu/gallery/photos/GVP-11476.jpg,Shield,Kenya,Africa and Red Sea,Africa (eastern),holocene,Unknown - Evidence Credible,"2356 m, 7730 ft",1.151°S,36.357°E,474,4041,105232,6914644,-1.151,36.357,2356,On land
Tahalra Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-11926.jpg,Pyroclastic cone(s),Algeria,Africa and Red Sea,Africa (northern),holocene,Unknown - Evidence Credible,"1467 m, 4813 ft",22.67°N,5°E,0,0,518,86063,22.67,5,1467,On land
"Tair, Jebel at",https://volcano.si.edu/gallery/photos/GVP-11901.jpg,Stratovolcano,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,2008 CE,"244 m, 801 ft",15.55°N,41.83°E,0,0,0,14493,15.55,41.83,244,On land
Tat Ali,https://volcano.si.edu/gallery/photos/GVP-11213.jpg,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"655 m, 2149 ft",13.284°N,41.063°E,32,44,2130,100598,13.284,41.063,655,On land
Tepi,https://volcano.si.edu/gallery/photos/GVP-11727.jpg,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Unrest / Holocene,"2728 m, 8950 ft",7.42°N,35.43°E,63395,63395,207121,1629787,7.42,35.43,2728,On land
Todra Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-11924.jpg,Pyroclastic cone(s),Niger,Africa and Red Sea,Africa (northern),holocene,Unknown - Evidence Credible,"1780 m, 5840 ft",17.68°N,8.5°E,362,362,927,146935,17.68,8.5,1780,On land
"Toh, Tarso",https://volcano.si.edu/gallery/photos/GVP-11933.jpg,Volcanic field,Chad,Africa and Red Sea,Africa (northern),holocene,Unknown - Evidence Credible,"2000 m, 6562 ft",21.33°N,16.33°E,0,0,0,4088,21.33,16.33,2000,On land
Tombel Graben,https://volcano.si.edu/gallery/photos/GVP-11135.jpg,Pyroclastic cone(s),Cameroon,Africa and Red Sea,Africa (western),holocene,Unknown - Evidence Credible,"500 m, 1640 ft",4.758°N,9.717°E,234623,234623,434892,4087423,4.758,9.717,500,On land
"Tousside, Tarso",https://volcano.si.edu/gallery/photos/GVP-10398.jpg,Stratovolcano,Chad,Africa and Red Sea,Africa (northern),holocene,Unknown - Evidence Credible,"3265 m, 10712 ft",21.03°N,16.45°E,0,0,394,5038,21.03,16.45,3265,On land
Tullu Moye,https://volcano.si.edu/gallery/photos/GVP-11162.jpg,Pyroclastic cone,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1900 CE,"2343 m, 7687 ft",8.159°N,39.137°E,11514,51976,546291,5565084,8.159,39.137,2343,On land
Unnamed,https://volcano.si.edu/gallery/photos/GVP-11163.jpg,Fissure vent(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1886 m, 6188 ft",8.013°N,39.062°E,283786,283786,502586,5504017,8.013,39.062,1886,On land
Visoke,https://volcano.si.edu/gallery/photos/GVP-08668.jpg,Stratovolcano,DR Congo,Africa and Red Sea,Africa (central),holocene,1957 CE,"3696 m, 12126 ft",1.458°S,29.485°E,17165,88356,1162209,10953315,-1.458,29.485,3696,On land
"Voon, Tarso",https://volcano.si.edu/gallery/photos/GVP-10464.jpg,Stratovolcano,Chad,Africa and Red Sea,Africa (northern),holocene,Unknown - Unrest / Holocene,"3100 m, 10171 ft",20.92°N,17.28°E,0,0,0,3220,20.92,17.28,3100,On land
Yangudi,https://volcano.si.edu/gallery/photos/GVP-11730.jpg,Complex,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1383 m, 4537 ft",10.58°N,41.042°E,33,795,11672,519635,10.58,41.042,1383,On land
Zubair Group,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,2013 CE,"191 m, 627 ft",15.05°N,42.18°E,7,7,7,671171,15.05,42.18,191,On land
Zukur,https://volcano.si.edu/gallery/photos/GVP-11722.jpg,Shield,Yemen,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"624 m, 2047 ft",14.02°N,42.75°E,508,922,1075,1472800,14.02,42.75,624,On land
Akutan,https://volcano.si.edu/gallery/photos/GVP-04544.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1992 CE,"1303 m, 4275 ft",54.134°N,165.986°W,0,24,233,4361,54.134,-165.986,1303,On land
Amak,https://volcano.si.edu/gallery/photos/GVP-09559.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1796 CE,"488 m, 1601 ft",55.424°N,163.149°W,0,0,0,1345,55.424,-163.149,488,On land
Amukta,https://volcano.si.edu/gallery/photos/GVP-08553.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1997 CE,"1066 m, 3497 ft",52.5°N,171.252°W,0,0,0,0,52.5,-171.252,1066,On land
Aniakchak,https://volcano.si.edu/gallery/photos/GVP-05339.jpg,Caldera,United States,Alaska,Alaska Peninsula,holocene,1931 CE,"1341 m, 4400 ft",56.88°N,158.17°W,0,0,36,479,56.88,-158.17,1341,On land
Atka Volcanic Complex,https://volcano.si.edu/gallery/photos/GVP-12046.jpg,Stratovolcano(es),United States,Alaska,Aleutian Islands,holocene,2007 CE,"1518 m, 4980 ft",52.331°N,174.139°W,0,0,207,207,52.331,-174.139,1518,On land
Augustine,https://volcano.si.edu/gallery/photos/GVP-02665.jpg,Lava dome(s),United States,Alaska,Alaska (southwestern),holocene,2006 CE,"1252 m, 4108 ft",59.363°N,153.43°W,0,0,0,759,59.363,-153.43,1252,On land
Behm Canal-Rudyerd Bay,https://volcano.si.edu/gallery/photos/GVP-12492.jpg,Pyroclastic cone(s),United States,Alaska,Alaska (eastern),holocene,Unknown - Evidence Uncertain,"500 m, 1640 ft",55.32°N,131.05°W,0,0,6,15569,55.32,-131.05,500,On land
Black Peak,https://volcano.si.edu/gallery/photos/GVP-08556.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,1900 BCE,"1032 m, 3386 ft",56.552°N,158.785°W,0,0,0,478,56.552,-158.785,1032,On land
Bobrof,https://volcano.si.edu/gallery/photos/GVP-08560.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,Unknown - Evidence Uncertain,"738 m, 2421 ft",51.91°N,177.438°W,0,0,0,0,51.91,-177.438,738,On land
Bogoslof,https://volcano.si.edu/gallery/photos/GVP-05383.jpg,Submarine,United States,Alaska,Aleutian Islands,holocene,2017 CE,"150 m, 492 ft",53.93°N,168.03°W,0,0,0,4216,53.93,-168.03,150,On land
Buldir,https://volcano.si.edu/gallery/photos/GVP-09574.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,Unknown - Evidence Uncertain,"656 m, 2152 ft",52.35°N,175.911°E,0,0,0,0,52.35,175.911,656,On land
Buzzard Creek,https://volcano.si.edu/gallery/photos/GVP-11116.jpg,Tuff ring(s),United States,Alaska,Alaska (eastern),holocene,1050 BCE,"830 m, 2723 ft",64.062°N,148.433°W,0,0,12,79489,64.062,-148.433,830,On land
Carlisle,https://volcano.si.edu/gallery/photos/GVP-09364.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1828 CE,"1620 m, 5315 ft",52.894°N,170.054°W,0,0,0,30,52.894,-170.054,1620,On land
Chagulak,https://volcano.si.edu/gallery/photos/GVP-09585.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,Unknown - Evidence Credible,"1142 m, 3747 ft",52.577°N,171.13°W,0,0,0,0,52.577,-171.13,1142,On land
Chiginagak,https://volcano.si.edu/gallery/photos/GVP-05336.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,1998 CE,"2221 m, 7287 ft",57.135°N,156.99°W,0,0,0,52,57.135,-156.99,2221,On land
Churchill,https://volcano.si.edu/gallery/photos/GVP-05208.jpg,Stratovolcano,United States,Alaska,Alaska (eastern),holocene,847 CE,"5005 m, 16421 ft",61.38°N,141.75°W,0,0,0,95,61.38,-141.75,5005,On land
Cleveland,https://volcano.si.edu/gallery/photos/GVP-05394.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,2020 CE,"1730 m, 5676 ft",52.825°N,169.944°W,0,0,0,9,52.825,-169.944,1730,On land
Dana,https://volcano.si.edu/gallery/photos/GVP-09538.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,1890 BCE,"1354 m, 4442 ft",55.641°N,161.214°W,0,0,0,1814,55.641,-161.214,1354,On land
Davidof,https://volcano.si.edu/gallery/photos/GVP-09484.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,Unknown - Evidence Uncertain,"328 m, 1076 ft",51.97°N,178.33°E,0,0,0,0,51.97,178.33,328,On land
Denison,https://volcano.si.edu/gallery/photos/GVP-09504.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,Unknown - Evidence Uncertain,"2287 m, 7503 ft",58.418°N,154.449°W,0,0,0,119,58.418,-154.449,2287,On land
Douglas,https://volcano.si.edu/gallery/photos/GVP-05301.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,Unknown - Evidence Credible,"2140 m, 7021 ft",58.855°N,153.542°W,0,0,0,134,58.855,-153.542,2140,On land
Duncan Canal,https://volcano.si.edu/gallery/photos/GVP-09451.jpg,Volcanic field,United States,Alaska,Alaska (eastern),holocene,Unknown - Evidence Credible,"15 m, 49 ft",56.5°N,133.1°W,0,0,60,7558,56.5,-133.1,15,On land
Dutton,https://volcano.si.edu/gallery/photos/GVP-08558.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,Unknown - Evidence Credible,"1465 m, 4806 ft",55.183°N,162.276°W,0,445,859,1090,55.183,-162.276,1465,On land
Edgecumbe,https://volcano.si.edu/gallery/photos/GVP-09652.jpg,Stratovolcano(es),United States,Alaska,Alaska (eastern),holocene,2220 BCE,"970 m, 3182 ft",57.05°N,135.75°W,0,0,6613,7074,57.05,-135.75,970,On land
Emmons Lake,https://volcano.si.edu/gallery/photos/GVP-05366.jpg,Caldera,United States,Alaska,Alaska Peninsula,holocene,Unknown - Evidence Credible,"1436 m, 4711 ft",55.341°N,162.073°W,0,0,686,1199,55.341,-162.073,1436,On land
Fisher,https://volcano.si.edu/gallery/photos/GVP-05371.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1830 CE,"1112 m, 3648 ft",54.65°N,164.43°W,0,0,0,25,54.65,-164.43,1112,On land
Fourpeaked,https://volcano.si.edu/gallery/photos/GVP-11835.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,2006 CE,"2105 m, 6906 ft",58.77°N,153.672°W,0,0,0,165,58.77,-153.672,2105,On land
Frosty,https://volcano.si.edu/gallery/photos/GVP-09871.jpg,Stratovolcano(es),United States,Alaska,Alaska Peninsula,holocene,Unknown - Evidence Credible,"1728 m, 5669 ft",55.067°N,162.835°W,0,0,67,1153,55.067,-162.835,1728,On land
Gareloi,https://volcano.si.edu/gallery/photos/GVP-12000.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1989 CE,"1573 m, 5161 ft",51.79°N,178.794°W,0,0,0,0,51.79,-178.794,1573,On land
Great Sitkin,https://volcano.si.edu/gallery/photos/GVP-08562.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,2022 CE,"1740 m, 5709 ft",52.076°N,176.13°W,0,0,0,0,52.076,-176.13,1740,On land
Griggs,https://volcano.si.edu/gallery/photos/GVP-05321.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,1790 BCE,"2317 m, 7602 ft",58.354°N,155.092°W,0,0,0,654,58.354,-155.092,2317,On land
Hayes,https://volcano.si.edu/gallery/photos/GVP-09540.jpg,Stratovolcano,United States,Alaska,Alaska (southwestern),holocene,1200 CE,"3034 m, 9954 ft",61.64°N,152.411°W,0,0,0,151,61.64,-152.411,3034,On land
Herbert,https://volcano.si.edu/gallery/photos/GVP-04556.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,Unknown - Evidence Credible,"1280 m, 4199 ft",52.742°N,170.111°W,0,0,0,30,52.742,-170.111,1280,On land
Iliamna,https://volcano.si.edu/gallery/photos/GVP-05295.jpg,Stratovolcano,United States,Alaska,Alaska (southwestern),holocene,1876 CE,"3053 m, 10016 ft",60.032°N,153.09°W,0,0,1,7564,60.032,-153.09,3053,On land
Imuruk Lake,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),United States,Alaska,Alaska (western),holocene,300 CE,"610 m, 2001 ft",65.517°N,163.45°W,0,0,0,0,65.517,-163.45,610,On land
Ingakslugwat Hills,https://volcano.si.edu/gallery/photos/GVP-12317.jpg,Pyroclastic cone(s),United States,Alaska,Alaska (western),holocene,Unknown - Evidence Credible,"190 m, 623 ft",61.43°N,164.47°W,0,0,0,4271,61.43,-164.47,190,On land
Kagamil,https://volcano.si.edu/gallery/photos/GVP-08541.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1929 CE,"893 m, 2930 ft",52.974°N,169.72°W,0,0,0,7,52.974,-169.72,893,On land
Kaguyak,https://volcano.si.edu/gallery/photos/GVP-05305.jpg,Lava dome(s),United States,Alaska,Alaska Peninsula,holocene,3850 BCE,"901 m, 2956 ft",58.608°N,154.028°W,0,0,0,60,58.608,-154.028,901,On land
Kanaga,https://volcano.si.edu/gallery/photos/GVP-09552.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,2012 CE,"1307 m, 4288 ft",51.923°N,177.168°W,0,0,0,0,51.923,-177.168,1307,On land
Kasatochi,https://volcano.si.edu/gallery/photos/GVP-08563.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,2008 CE,"314 m, 1030 ft",52.177°N,175.508°W,0,0,0,276,52.177,-175.508,314,On land
Katmai,https://volcano.si.edu/gallery/photos/GVP-05308.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,1912 CE,"2047 m, 6716 ft",58.28°N,154.963°W,0,0,0,128,58.28,-154.963,2047,On land
Kialagvik,https://volcano.si.edu/gallery/photos/GVP-09533.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,Unknown - Evidence Credible,"1677 m, 5502 ft",57.203°N,156.745°W,0,0,0,71,57.203,-156.745,1677,On land
Kiska,https://volcano.si.edu/gallery/photos/GVP-08557.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1990 CE,"1220 m, 4003 ft",52.103°N,177.602°E,0,0,0,0,52.103,177.602,1220,On land
Koniuji,https://volcano.si.edu/gallery/photos/GVP-09588.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1150 BCE,"273 m, 896 ft",52.22°N,175.13°W,0,0,0,173,52.22,-175.13,273,On land
Kukak,https://volcano.si.edu/gallery/photos/GVP-08564.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,Unknown - Unrest / Holocene,"2043 m, 6703 ft",58.453°N,154.355°W,0,0,0,125,58.453,-154.355,2043,On land
Kupreanof,https://volcano.si.edu/gallery/photos/GVP-09532.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,Unknown - Evidence Uncertain,"1895 m, 6217 ft",56.011°N,159.797°W,0,0,11,969,56.011,-159.797,1895,On land
Little Sitkin,https://volcano.si.edu/gallery/photos/GVP-09482.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1830 CE,"1174 m, 3852 ft",51.95°N,178.543°E,0,0,0,0,51.95,178.543,1174,On land
Mageik,https://volcano.si.edu/gallery/photos/GVP-05325.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,500 BCE,"2165 m, 7103 ft",58.195°N,155.253°W,0,0,0,376,58.195,-155.253,2165,On land
Makushin,https://volcano.si.edu/gallery/photos/GVP-04555.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1995 CE,"1800 m, 5906 ft",53.891°N,166.923°W,0,0,3437,3850,53.891,-166.923,1800,On land
Martin,https://volcano.si.edu/gallery/photos/GVP-05327.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,1953 CE,"1863 m, 6112 ft",58.172°N,155.361°W,0,0,0,914,58.172,-155.361,1863,On land
Moffett,https://volcano.si.edu/gallery/photos/GVP-08542.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1600 BCE,"1196 m, 3924 ft",51.944°N,176.747°W,0,0,0,0,51.944,-176.747,1196,On land
Novarupta,https://volcano.si.edu/gallery/photos/GVP-05315.jpg,Caldera,United States,Alaska,Alaska Peninsula,holocene,1912 CE,"841 m, 2759 ft",58.27°N,155.157°W,0,0,0,667,58.27,-155.157,841,On land
Okmok,https://volcano.si.edu/gallery/photos/GVP-05386.jpg,Shield,United States,Alaska,Aleutian Islands,holocene,2008 CE,"1073 m, 3520 ft",53.43°N,168.13°W,0,0,0,4,53.43,-168.13,1073,On land
Pavlof,https://volcano.si.edu/gallery/photos/GVP-05365.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,2022 CE,"2493 m, 8179 ft",55.417°N,161.894°W,0,0,0,3002,55.417,-161.894,2493,On land
Pavlof Sister,https://volcano.si.edu/gallery/photos/GVP-05363.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,Unknown - Evidence Credible,"2142 m, 7028 ft",55.457°N,161.854°W,0,0,0,1860,55.457,-161.854,2142,On land
Recheschnoi,https://volcano.si.edu/gallery/photos/GVP-05388.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,Unknown - Evidence Credible,"1984 m, 6509 ft",53.157°N,168.539°W,0,0,0,17,53.157,-168.539,1984,On land
Redoubt,https://volcano.si.edu/gallery/photos/GVP-05233.jpg,Stratovolcano,United States,Alaska,Alaska (southwestern),holocene,2009 CE,"3108 m, 10197 ft",60.485°N,152.742°W,0,0,1,32410,60.485,-152.742,3108,On land
Roundtop,https://volcano.si.edu/gallery/photos/GVP-08536.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,7600 BCE,"1871 m, 6138 ft",54.8°N,163.589°W,0,0,10,1079,54.8,-163.589,1871,On land
Seguam,https://volcano.si.edu/gallery/photos/GVP-09469.jpg,Stratovolcano(es),United States,Alaska,Aleutian Islands,holocene,1993 CE,"1054 m, 3458 ft",52.315°N,172.51°W,0,0,0,0,52.315,-172.51,1054,On land
Segula,https://volcano.si.edu/gallery/photos/GVP-11996.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,Unknown - Evidence Credible,"1160 m, 3806 ft",52.015°N,178.136°E,0,0,0,0,52.015,178.136,1160,On land
Semisopochnoi,https://volcano.si.edu/gallery/photos/GVP-09492.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,2022 CE,"1221 m, 4006 ft",51.93°N,179.58°E,0,0,0,0,51.93,179.58,1221,On land
Shishaldin,https://volcano.si.edu/gallery/photos/GVP-05369.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,2020 CE,"2857 m, 9373 ft",54.756°N,163.97°W,0,0,10,197,54.756,-163.97,2857,On land
Snowy Mountain,https://volcano.si.edu/gallery/photos/GVP-09509.jpg,Stratovolcano(es),United States,Alaska,Alaska Peninsula,holocene,1710 CE,"2162 m, 7093 ft",58.336°N,154.682°W,0,0,0,248,58.336,-154.682,2162,On land
Spurr,https://volcano.si.edu/gallery/photos/GVP-05211.jpg,Stratovolcano,United States,Alaska,Alaska (southwestern),holocene,1992 CE,"3374 m, 11070 ft",61.299°N,152.251°W,0,0,0,11097,61.299,-152.251,3374,On land
St. Michael,https://volcano.si.edu/gallery/photos/GVP-12318.jpg,Shield(s),United States,Alaska,Alaska (western),holocene,Unknown - Evidence Credible,"715 m, 2346 ft",63.45°N,162.12°W,662,662,662,2625,63.45,-162.12,715,On land
St. Paul Island,https://volcano.si.edu/gallery/photos/GVP-09599.jpg,Shield,United States,Alaska,Alaska (western),holocene,1280 BCE,"203 m, 666 ft",57.18°N,170.3°W,582,582,582,783,57.18,-170.3,203,On land
Steller,https://volcano.si.edu/gallery/photos/GVP-09565.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,Unknown - Evidence Credible,"2272 m, 7454 ft",58.43°N,154.4°W,0,0,0,118,58.43,-154.4,2272,On land
Stepovak Bay Group,https://volcano.si.edu/gallery/photos/GVP-12313.jpg,Volcanic field,United States,Alaska,Alaska Peninsula,holocene,Unknown - Evidence Credible,"1633 m, 5358 ft",55.917°N,160.017°W,,,,,55.917,-160.017,1633,On land
Takawangha,https://volcano.si.edu/gallery/photos/GVP-11999.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1550 CE,"1449 m, 4754 ft",51.873°N,178.006°W,0,0,0,0,51.873,-178.006,1449,On land
Tana,https://volcano.si.edu/gallery/photos/GVP-11860.jpg,Stratovolcano(es),United States,Alaska,Aleutian Islands,holocene,Unknown - Evidence Credible,"1170 m, 3839 ft",52.83°N,169.77°W,0,0,0,8,52.83,-169.77,1170,On land
Tanaga,https://volcano.si.edu/gallery/photos/GVP-11998.jpg,Stratovolcano(es),United States,Alaska,Aleutian Islands,holocene,1914 CE,"1806 m, 5925 ft",51.885°N,178.146°W,0,0,0,0,51.885,-178.146,1806,On land
Tlevak Strait-Suemez Is.,https://volcano.si.edu/gallery/photos/GVP-12319.jpg,Volcanic field,United States,Alaska,Alaska (eastern),holocene,Unknown - Evidence Credible,"50 m, 164 ft",55.25°N,133.3°W,0,0,1596,6552,55.25,-133.3,50,On land
Trident,https://volcano.si.edu/gallery/photos/GVP-05313.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,1974 CE,"1864 m, 6115 ft",58.236°N,155.1°W,0,0,0,117,58.236,-155.1,1864,On land
Ugashik-Peulik,https://volcano.si.edu/gallery/photos/GVP-05335.jpg,Stratovolcano,United States,Alaska,Alaska Peninsula,holocene,1814 CE,"1474 m, 4836 ft",57.751°N,156.368°W,0,0,0,102,57.751,-156.368,1474,On land
Ukinrek Maars,https://volcano.si.edu/gallery/photos/GVP-05328.jpg,Maar(s),United States,Alaska,Alaska Peninsula,holocene,1977 CE,"91 m, 299 ft",57.832°N,156.51°W,0,0,0,739,57.832,-156.51,91,On land
